folder,set_id,mode,task,problem_id,level,model_raw,model,correct,outcome,speedup,dram_util,compute_pct,power_w,energy_mj,fusion,occupancy,sol_score,timeout_recovered,total_turns,first_correct_step,wall_clock_s,llm_total_tokens
pop_l123_all_gpt,set1,all,6_EdgeSoftmaxMultiHeadCSR.py,6,1,grok-4.3,grok-4.3,True,correct,366.5158371040724,0.53,8.67,4183.95,242.74,640.2222,9.771897999183857,0.0867,False,8,6.0,701.828173,49360
pop_l123_all_gpt,set1,all,31_FusedMLAAttention.py,31,2,grok-4.3,grok-4.3,True,correct,734.1389728096676,0.05,0.0,774.81,240.74,28861.8,7.77358037691134,0.0005,False,4,2.0,658.431119,19536
pop_l123_all_gpt,set1,all,9_AssociativeScan.py,9,1,grok-4.3,grok-4.3,False,compile_fail,,,,,,,,,False,4,2.0,486.797008,16183
pop_l123_all_gpt,set1,all,25_OuterProductMean.py,25,2,grok-4.3,grok-4.3,True,correct,0.03821892393320965,62.84,9.81,89.33,481.68,9.375,69.41777729681883,0.6284,False,7,5.0,1665.196673,45064
pop_l123_all_gpt,set1,all,26_ImportanceSampling.py,26,1,grok-4.3,grok-4.3,True,correct,2.3798882681564244,6.3,48.6,0.0,0.0,2.3784,173.97450140786333,0.486,False,6,4.0,606.654086,33181
pop_l123_all_gpt,set1,all,26_RoPEKVCacheUpdate.py,26,2,grok-4.3,grok-4.3,True,correct,57.36434108527132,2.41,0.0,0.0,0.0,113.9231,12.748223542879334,0.0241,False,9,7.0,1544.299807,69401
pop_l123_all_gpt,set1,all,8_EvoformerBlock.py,8,3,grok-4.3,grok-4.3,False,incorrect,,,,,,,,-1.0,False,7,,860.981856,41608
pop_l123_all_gpt,set1,all,48_ParticleFilter.py,48,2,grok-4.3,grok-4.3,False,incorrect,,21.89,88.67,,,,279.66921858022005,0.8867,False,8,6.0,1189.023371,71068
pop_l123_all_gpt,set1,all,7_Conv1d_FFT.py,7,1,grok-4.3,grok-4.3,True,correct,1.0,100.0,100.0,0.0,0.0,1.0,573.3695764995118,1.0,False,7,4.0,1425.945402,31123
pop_l123_all_gpt,set1,all,36_InvariantPointAttention.py,36,2,grok-4.3,grok-4.3,True,correct,0.9289940828402368,27.43,5.67,0.0,0.0,1.0,420.5813419999431,0.2743,False,4,,534.269599,26685
pop_l123_all_gpt,set1,all,28_DirichletMultinomialLogLikelihood.py,28,1,grok-4.3,grok-4.3,True,correct,0.42905405405405406,0.57,5.45,0.0,0.0,2.5714,21.749789452361092,0.0545,False,4,1.0,731.345972,16720
pop_l123_all_gpt,set1,all,21_RadialBasisFunctionExpansion.py,21,1,grok-4.3,grok-4.3,True,correct,3.4503311258278146,22.91,40.16,0.0,0.0,10.0,87.25790551414431,0.4016,False,3,1.0,209.542424,12546
pop_l123_all_gpt,set1,all,24_KimiDeltaAttentionChannelwise.py,24,2,grok-4.3,grok-4.3,True,correct,23.875968992248062,0.1,0.0,0.0,0.0,705.75,18.69942311918354,0.001,False,4,2.0,318.483146,19336
pop_l123_all_gpt,set1,all,31_bitmask_or_popcount.py,31,1,grok-4.3,grok-4.3,False,incorrect,,,,,,,,-1.0,False,9,,1827.072075,42817
