folder,set_id,mode,model,problem_id,outcome,correct,total_turns,timeout_events,had_timeout,first_correct_step,mid_pass_step,error_types_str,num_tool_calls,tools_str
pop_l123_all_gpt,set1,all,grok-4.3,6,correct,True,8,0,False,6.0,6.0,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,8,compile_kernel|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,31,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,9,compile_fail,False,4,0,False,2.0,2.0,compile_error,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,25,correct,True,7,0,False,5.0,5.0,compile_error|compile_error|compile_error,7,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,26,correct,True,6,0,False,4.0,4.0,compile_error|compile_error,6,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,26,correct,True,9,0,False,7.0,7.0,compile_error|correctness_fail|correctness_fail|correctness_fail,9,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,8,incorrect,False,7,0,False,,,compile_error|compile_error|compile_error|compile_error|compile_error|correctness_fail,7,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,48,incorrect,False,8,0,False,6.0,6.0,compile_error|correctness_fail|correctness_fail|correctness_fail,8,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,7,correct,True,7,0,False,4.0,4.0,compile_error,7,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|run_correctness|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,36,correct,True,4,0,False,3.0,,,3,get_gpu_specs|compile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,28,correct,True,4,0,False,1.0,1.0,,4,compile_kernel|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,21,correct,True,3,0,False,1.0,1.0,,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,24,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,31,incorrect,False,9,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,9,get_gpu_specs|compile_kernel|run_correctness|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,10,correct,True,6,0,False,4.0,4.0,compile_error|compile_error,5,compile_kernel|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,15,compile_fail,False,4,0,False,2.0,2.0,compile_error,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,5,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,46,correct,True,11,0,False,9.0,9.0,compile_error|correctness_fail|correctness_fail|correctness_fail,11,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,29,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,47,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,8,correct,True,5,0,False,3.0,3.0,compile_error,5,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,2,compile_fail,False,3,0,False,1.0,1.0,compile_error,3,compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,35,correct,True,9,0,False,8.0,,correctness_fail|correctness_fail|correctness_fail,9,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,1,correct,True,8,0,False,2.0,2.0,,8,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,16,correct,True,5,0,False,3.0,3.0,correctness_fail,5,compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,14,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,37,correct,True,7,0,False,5.0,5.0,compile_error|correctness_fail|correctness_fail,7,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,13,correct,True,7,0,False,5.0,5.0,correctness_fail,7,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,4,incorrect,False,6,0,False,3.0,3.0,other_fail|correctness_fail,6,get_gpu_specs|compile_kernel|compile_kernel|run_correctness|static_check|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,30,correct,True,11,0,False,9.0,9.0,compile_error|compile_error|compile_error|compile_error|correctness_fail|correctness_fail,11,get_gpu_specs|compile_kernel|compile_kernel|compile_kernel|compile_kernel|compile_kernel|run_correctness|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,6,incorrect,False,4,0,False,2.0,2.0,correctness_fail,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,18,compile_fail,False,8,0,False,,,correctness_fail|correctness_fail|correctness_fail|compile_error,7,compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,30,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,32,compile_fail,False,6,0,False,2.0,2.0,compile_error,5,get_gpu_specs|compile_kernel|run_correctness|profile_kernel|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,50,compile_fail,False,10,0,False,,,correctness_fail|correctness_fail|other_fail|other_fail|correctness_fail|compile_error,9,get_gpu_specs|compile_kernel|run_correctness|run_correctness|submit_kernel|submit_kernel|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,12,correct,True,9,0,False,7.0,7.0,correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail|correctness_fail,9,compile_kernel|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,20,correct,True,4,0,False,2.0,2.0,,4,get_gpu_specs|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,17,compile_fail,False,11,0,False,,,correctness_fail|correctness_fail|correctness_fail|correctness_fail|compile_error,10,compile_kernel|run_correctness|compile_kernel|run_correctness|static_check|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
pop_l123_all_gpt,set1,all,grok-4.3,2,compile_fail,False,12,0,False,9.0,9.0,correctness_fail|correctness_fail|correctness_fail|correctness_fail|compile_error,11,compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|compile_kernel|run_correctness|submit_kernel
